case_id;activity;timestamp;Office;resource;Salary;Contract Type;Department;Seniority
ID_0001;Job Posting;03/04/2021 3:44;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Application Submission;06/04/2021 7:10;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Candidate Screening;08/04/2021 13:56;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Interview Process;16/04/2021 7:36;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Job Offer Extended;16/05/2021 18:05;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Job Offer Accepted;26/05/2021 22:16;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Onboarding Initiated;01/06/2021 9:06;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Completion of Onboarding;06/06/2021 4:39;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Performance Evaluation;14/02/2022 6:57;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Performance Improvement Plan Initiated;22/02/2022 9:25;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Follow-up Evaluation;06/04/2022 8:14;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Annual Performance Review;20/04/2022 1:44;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0001;Offboarding/Retirement;03/05/2022 15:22;Berlin;Software Engineer;131213;Full-Time;Engineering;Senior
ID_0002;Job Posting;06/05/2021 13:55;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Application Submission;09/05/2021 18:23;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Candidate Screening;12/05/2021 17:23;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Interview Process;14/05/2021 19:35;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Job Offer Extended;24/05/2021 13:11;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
ID_0002;Job Offer Accepted;28/05/2021 6:25;New York;Technical Support Specialist;73904;Freelance;Customer Support;Senior
